time;state;goal
7,59;0,667055;1
7,6;0,667037;1
7,61;0,66702;1
7,62;0,667003;1
7,63;0,666986;1
7,64;0,666969;1
7,65;0,666953;1
7,66;0,666936;1
7,67;0,66692;1
7,68;0,666904;1
7,69;0,666888;1
7,7;0,666873;1
7,71;0,666857;1
7,72;0,666842;1
7,73;0,666827;1
7,74;0,666813;1
7,75;0,666798;1
7,76;0,666784;1
7,77;0,66677;1
7,78;0,666756;1
7,79;0,666742;1
7,8;0,666729;1
7,81;0,666716;1
7,82;0,666703;1
7,83;0,66669;1
7,84;0,666678;1
7,85;0,666665;1
7,86;0,666653;1
7,87;0,666641;1
7,88;0,66663;1
7,89;0,666618;1
7,9;0,666607;1
7,91;0,666596;1
7,92;0,666585;1
7,93;0,666574;1
7,94;0,666564;1
7,95;0,666554;1
7,96;0,666544;1
7,97;0,666534;1
7,98;0,666525;1
7,99;0,666515;1
8;0,666506;1
8,01;0,666497;1
8,02;0,666488;1
8,03;0,66648;1
8,04;0,666472;1
8,05;0,666464;1
8,06;0,666456;1
8,07;0,666448;1
8,08;0,66644;1
8,09;0,666433;1
8,1;0,666426;1
8,11;0,666419;1
8,12;0,666412;1
8,13;0,666406;1
8,14;0,6664;1
8,15;0,666393;1
8,16;0,666387;1
8,17;0,666382;1
8,18;0,666376;1
8,19;0,666371;1
8,2;0,666366;1
8,21;0,666361;1
8,22;0,666356;1
8,23;0,666351;1
8,24;0,666346;1
8,25;0,666342;1
8,26;0,666338;1
8,27;0,666334;1
8,28;0,66633;1
8,29;0,666327;1
8,3;0,666323;1
8,31;0,66632;1
8,32;0,666317;1
8,33;0,666314;1
8,34;0,666311;1
8,35;0,666308;1
8,36;0,666306;1
8,37;0,666303;1
8,38;0,666301;1
8,39;0,666299;1
8,4;0,666297;1
8,41;0,666295;1
8,42;0,666293;1
8,43;0,666292;1
8,44;0,666291;1
8,45;0,666289;1
8,46;0,666288;1
8,47;0,666287;1
8,48;0,666286;1
8,49;0,666286;1
8,5;0,666285;1
8,51;0,666285;1
8,52;0,666284;1
8,53;0,666284;1
8,54;0,666284;1
8,55;0,666284;1
8,56;0,666284;1
8,57;0,666284;1
8,58;0,666285;1
8,59;0,666285;1
8,6;0,666286;1
8,61;0,666286;1
8,62;0,666287;1
8,63;0,666288;1
8,64;0,666289;1
8,65;0,66629;1
8,66;0,666291;1
8,67;0,666292;1
8,68;0,666294;1
8,69;0,666295;1
8,7;0,666296;1
8,71;0,666298;1
8,72;0,6663;1
8,73;0,666301;1
8,74;0,666303;1
8,75;0,666305;1
8,76;0,666307;1
8,77;0,666309;1
8,78;0,666311;1
8,79;0,666313;1
8,8;0,666316;1
8,81;0,666318;1
8,82;0,66632;1
8,83;0,666323;1
8,84;0,666325;1
8,85;0,666328;1
8,86;0,66633;1
8,87;0,666333;1
8,88;0,666336;1
8,89;0,666339;1
8,9;0,666341;1
8,91;0,666344;1
8,92;0,666347;1
8,93;0,66635;1
8,94;0,666353;1
8,95;0,666356;1
8,96;0,666359;1
8,97;0,666362;1
8,98;0,666365;1
8,99;0,666369;1
9;0,666372;1
9,01;0,666375;1
9,02;0,666378;1
9,03;0,666382;1
9,04;0,666385;1
9,05;0,666388;1
9,06;0,666392;1
9,07;0,666395;1
9,08;0,666399;1
9,09;0,666402;1
9,1;0,666405;1
9,11;0,666409;1
9,12;0,666412;1
9,13;0,666416;1
9,14;0,666419;1
9,15;0,666423;1
9,16;0,666426;1
9,17;0,66643;1
9,18;0,666434;1
9,19;0,666437;1
9,2;0,666441;1
9,21;0,666444;1
9,22;0,666448;1
9,23;0,666451;1
9,24;0,666455;1
9,25;0,666459;1
9,26;0,666462;1
9,27;0,666466;1
9,28;0,666469;1
9,29;0,666473;1
9,3;0,666476;1
9,31;0,66648;1
9,32;0,666484;1
9,33;0,666487;1
9,34;0,666491;1
9,35;0,666494;1
9,36;0,666498;1
9,37;0,666501;1
9,38;0,666505;1
9,39;0,666508;1
9,4;0,666512;1
9,41;0,666515;1
9,42;0,666519;1
9,43;0,666522;1
9,44;0,666525;1
9,45;0,666529;1
9,46;0,666532;1
9,47;0,666535;1
9,48;0,666539;1
9,49;0,666542;1
9,5;0,666545;1
9,51;0,666549;1
9,52;0,666552;1
9,53;0,666555;1
9,54;0,666558;1
9,55;0,666561;1
9,56;0,666565;1
9,57;0,666568;1
9,58;0,666571;1
9,59;0,666574;1
9,6;0,666577;1
9,61;0,66658;1
9,62;0,666583;1
9,63;0,666586;1
9,64;0,666589;1
9,65;0,666592;1
9,66;0,666595;1
9,67;0,666597;1
9,68;0,6666;1
9,69;0,666603;1
9,7;0,666606;1
9,71;0,666609;1
9,72;0,666611;1
9,73;0,666614;1
9,74;0,666617;1
9,75;0,666619;1
9,76;0,666622;1
9,77;0,666624;1
9,78;0,666627;1
9,79;0,666629;1
9,8;0,666632;1
9,81;0,666634;1
9,82;0,666637;1
9,83;0,666639;1
9,84;0,666641;1
9,85;0,666643;1
9,86;0,666646;1
9,87;0,666648;1
9,88;0,66665;1
9,89;0,666652;1
9,9;0,666654;1
9,91;0,666656;1
9,92;0,666659;1
9,93;0,666661;1
9,94;0,666663;1
9,95;0,666664;1
9,96;0,666666;1
9,97;0,666668;1
9,98;0,66667;1
9,99;0,666672;1
10;0,666674;1
10,01;0,666675;1
10,02;0,666677;1
10,03;0,666679;1
10,04;0,666681;1
10,05;0,666682;1
10,06;0,666684;1
10,07;0,666685;1
10,08;0,666687;1
10,09;0,666688;1
10,1;0,66669;1
10,11;0,666691;1
10,12;0,666693;1
10,13;0,666694;1
10,14;0,666695;1
10,15;0,666697;1
10,16;0,666698;1
10,17;0,666699;1
10,18;0,6667;1
10,19;0,666701;1
10,2;0,666703;1
10,21;0,666704;1
10,22;0,666705;1
10,23;0,666706;1
10,24;0,666707;1
10,25;0,666708;1
10,26;0,666709;1
10,27;0,66671;1
10,28;0,666711;1
10,29;0,666711;1
10,3;0,666712;1
10,31;0,666713;1
10,32;0,666714;1
10,33;0,666715;1
10,34;0,666715;1
10,35;0,666716;1
10,36;0,666717;1
10,37;0,666717;1
10,38;0,666718;1
10,39;0,666719;1
10,4;0,666719;1
10,41;0,66672;1
10,42;0,66672;1
10,43;0,666721;1
10,44;0,666721;1
10,45;0,666722;1
10,46;0,666722;1
10,47;0,666722;1
10,48;0,666723;1
10,49;0,666723;1
10,5;0,666724;1
10,51;0,666724;1
10,52;0,666724;1
10,53;0,666724;1
10,54;0,666725;1
10,55;0,666725;1
10,56;0,666725;1
10,57;0,666725;1
10,58;0,666725;1
10,59;0,666726;1
10,6;0,666726;1
10,61;0,666726;1
10,62;0,666726;1
10,63;0,666726;1
10,64;0,666726;1
10,65;0,666726;1
10,66;0,666726;1
10,67;0,666726;1
10,68;0,666726;1
10,69;0,666726;1
10,7;0,666726;1
10,71;0,666726;1
10,72;0,666726;1
10,73;0,666725;1
10,74;0,666725;1
10,75;0,666725;1
10,76;0,666725;1
10,77;0,666725;1
10,78;0,666725;1
10,79;0,666724;1
10,8;0,666724;1
10,81;0,666724;1
10,82;0,666724;1
10,83;0,666724;1
10,84;0,666723;1
10,85;0,666723;1
10,86;0,666723;1
10,87;0,666722;1
10,88;0,666722;1
10,89;0,666722;1
10,9;0,666721;1
10,91;0,666721;1
10,92;0,666721;1
10,93;0,66672;1
10,94;0,66672;1
10,95;0,66672;1
10,96;0,666719;1
10,97;0,666719;1
10,98;0,666718;1
10,99;0,666718;1
11;0,666718;1
11,01;0,666717;1
11,02;0,666717;1
11,03;0,666716;1
11,04;0,666716;1
11,05;0,666715;1
11,06;0,666715;1
11,07;0,666714;1
11,08;0,666714;1
11,09;0,666713;1
11,1;0,666713;1
11,11;0,666712;1
11,12;0,666712;1
11,13;0,666711;1
11,14;0,666711;1
11,15;0,66671;1
11,16;0,66671;1
11,17;0,666709;1
11,18;0,666709;1
11,19;0,666708;1
11,2;0,666708;1
11,21;0,666707;1
11,22;0,666707;1
11,23;0,666706;1
11,24;0,666706;1
11,25;0,666705;1
11,26;0,666705;1
11,27;0,666704;1
11,28;0,666703;1
11,29;0,666703;1
11,3;0,666702;1
11,31;0,666702;1
11,32;0,666701;1
11,33;0,666701;1
11,34;0,6667;1
11,35;0,6667;1
11,36;0,666699;1
11,37;0,666698;1
11,38;0,666698;1
11,39;0,666697;1
11,4;0,666697;1
11,41;0,666696;1
11,42;0,666696;1
11,43;0,666695;1
11,44;0,666695;1
11,45;0,666694;1
11,46;0,666694;1
11,47;0,666693;1
11,48;0,666692;1
11,49;0,666692;1
11,5;0,666691;1
11,51;0,666691;1
11,52;0,66669;1
11,53;0,66669;1
11,54;0,666689;1
11,55;0,666689;1
11,56;0,666688;1
11,57;0,666688;1
11,58;0,666687;1
11,59;0,666687;1
11,6;0,666686;1
11,61;0,666686;1
11,62;0,666685;1
11,63;0,666685;1
11,64;0,666684;1
11,65;0,666684;1
11,66;0,666683;1
11,67;0,666683;1
11,68;0,666682;1
11,69;0,666682;1
11,7;0,666681;1
11,71;0,666681;1
11,72;0,66668;1
11,73;0,66668;1
11,74;0,666679;1
11,75;0,666679;1
11,76;0,666678;1
11,77;0,666678;1
11,78;0,666677;1
11,79;0,666677;1
11,8;0,666677;1
11,81;0,666676;1
11,82;0,666676;1
11,83;0,666675;1
11,84;0,666675;1
11,85;0,666675;1
11,86;0,666674;1
11,87;0,666674;1
11,88;0,666673;1
11,89;0,666673;1
11,9;0,666673;1
11,91;0,666672;1
11,92;0,666672;1
11,93;0,666671;1
11,94;0,666671;1
11,95;0,666671;1
11,96;0,66667;1
11,97;0,66667;1
11,98;0,66667;1
11,99;0,666669;1
12;0,666669;1
12,01;0,666669;1
12,02;0,666668;1
12,03;0,666668;1
12,04;0,666668;1
